,budget,usa_gross_income,worlwide_gross_income
0,,,
1,$ 2250,,
2,,,
3,$ 45000,,
4,,,
5,,,
6,,,
7,ITL 45000,,
8,ROL 400000,,
9,$ 30000,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,$ 5700,,
20,,,
21,,,
22,,,
23,,,
24,$ 210000,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,$ 23500,,
32,,,
33,,,
34,$ 40000,,
35,,,
36,$ 25000,,
37,$ 20000,,
38,$ 10000,,
39,$ 50000,,
40,,,
41,,,
42,$ 17022,,
43,,,
44,,,
45,,,
46,$ 50000,,
47,$ 100000,,
48,$ 23430,,
49,$ 17311,,
50,$ 18000,,
51,,,
52,$ 18711,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,$ 200000,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,$ 42600,,
75,,,
76,$ 385907,,
77,,,
78,,,
79,,,$ 144968
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,$ 500000,,
92,,,
93,,,
94,,,
95,$ 302976,,
96,$ 166949,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,$ 134832,,
105,,,
106,,,
107,,,
108,SEK 60000,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,SEK 100000,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,$ 125000,,
130,$ 66241,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,$ 3270000,
137,,,
138,,,
139,$ 72500,,
140,,,
141,,,
142,,,
143,,,
144,$ 67000,,
145,,,
146,$ 42000,,
147,$ 88000,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,$ 200000,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,$ 18000,$ 8811,$ 8811
166,,,
167,,,
168,$ 120000,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,SEK 180000,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,FRF 1800000,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,$ 300000,,
209,,,
210,NOK 250000,,$ 4272
211,,,
212,,,
213,$ 300000,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,$ 169330,,
221,,,
222,,,$ 772155
223,,,
224,,,
225,,,
226,,,
227,,,
228,$ 700000,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,FRF 248000,,
243,,,
244,,,
245,$ 800000,$ 9183673,$ 9183673
246,,,
247,,,
248,,,
249,,,
250,,,
251,$ 250000,,$ 26916
252,,,
253,,,
254,,$ 900000,$ 1108882
255,,$ 690965,
256,,,
257,,,
258,,$ 12156,$ 12156
259,,,
260,$ 1000000,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,$ 3270000,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,$ 265150,
277,,,
278,,,
279,,,
280,,,
281,,,
282,$ 113440,,
283,,,
284,,,
285,,,
286,$ 1100000,,
287,,,
288,$ 94412,,
289,,,
290,,,
291,,,
292,$ 385000,,
293,,,
294,,$ 177686,
295,,,
296,,,
297,,,$ 19054
298,$ 175000,,
299,,,
300,,,
301,$ 323062,,
302,$ 1500000,,
303,$ 350000,,
304,,,
305,,,
306,,,
307,,,
308,,$ 384770,
309,,,
310,,,
311,$ 400000,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,$ 1500000,,
318,,$ 242900,
319,,,
320,,,
321,,,
322,$ 782000,,
323,,,
324,,,
325,,,
326,,,
327,$ 1250000,,
328,,$ 2400000,
329,,,
330,,$ 280171,
331,,,
332,,,
333,,,
334,$ 121000,,
335,$ 858723,,
336,,,
337,$ 90220,,
338,,,
339,,,
340,,,
341,$ 1800000,,
342,,,
343,,,
344,$ 650000,,
345,,$ 657532,
346,,,
347,$ 220626,,
348,$ 351000,,$ 11233
349,,$ 427875,
350,,,
351,,,
352,,$ 290705,
353,,,
354,,,
355,,,
356,,$ 259784,
357,$ 750000,,
358,,,
359,,,
360,,,
361,,,
362,,EUR 252076,
363,$ 400000,,
364,$ 172000,,
365,,,
366,,,
367,FRF 260000,,
368,$ 280000,,
369,,,
370,$ 1000000,,
371,,,
372,,$ 94812,
373,,,
374,$ 212000,,
375,,,
376,,$ 556826,
377,$ 220000,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,$ 630229,
386,,,
387,,$ 497234,
388,,$ 780187,
389,,$ 470454,
390,,$ 977375,
391,,,
392,$ 1135654,,
393,,,
394,,,
395,,,
396,,,
397,,,$ 100156
398,$ 245000,,
399,,,
400,,,
401,,$ 51198,$ 61389
402,,,
403,,,
404,,,
405,,,
406,,,
407,,$ 323150,
408,,,
409,,,
410,,$ 1392,
411,,,
412,,,
413,,,
414,,,
415,$ 923000,,$ 26916
416,,,
417,$ 546883,,
418,,,
419,,$ 230306,
420,,,
421,$ 320000,,
422,,$ 205550,
423,,$ 190048,
424,,,
425,,,
426,,$ 1100000,
427,,,
428,,$ 1194450,$ 2834000
429,$ 608016,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,$ 3751476,$ 4360000
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,$ 477480,,
445,,$ 304081,
446,,,
447,$ 20000,,
448,,$ 210748,
449,,,
450,,,
451,,,
452,,$ 241507,
453,$ 700000,,
454,$ 312000,,
455,$ 103000,,
456,,$ 286809,
457,,$ 709613,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,$ 264738,
465,,,
466,,$ 490467,
467,,,
468,,$ 702114,
469,,$ 1708926,
470,,,
471,$ 449000,,
472,,$ 315862,
473,$ 1300000,,
474,$ 166000,,
475,,,
476,$ 693000,,
477,,,
478,,,
479,,,
480,,,
481,$ 546000,,
482,,,
483,,,
484,$ 260000,,
485,,,
486,,,
487,,$ 262300,
488,$ 373000,,
489,,$ 577310,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,$ 314332,
497,,$ 414115,
498,,,
499,GBP 12000,,$ 83260
500,,,
501,,,
502,,,
503,,,
504,,$ 620079,
505,,,
506,DEM 6000000,$ 1236166,$ 1349711
507,,,
508,,,
509,,,
510,,,
511,,,
512,,$ 1434461,
513,,,
514,,,
515,$ 174728,,
516,,,
517,$ 430290,,
518,$ 503000,,
519,,,
520,,,
521,,,
522,$ 253000,,
523,,,
524,,$ 716850,
525,$ 971260,,
526,$ 463455,,
527,,,
528,,,
529,,,
530,$ 669000,,
531,,,
532,$ 250000,,
533,,$ 243700,
534,$ 497356,,
535,,,
536,$ 360000,,
537,,,
538,,,
539,,,
540,$ 916000,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,,,
547,,$ 325550,
548,$ 264397,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,GBP 485300,
556,,,
557,,,
558,$ 750000,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,$ 436342,
565,,$ 411891,
566,$ 422000,,
567,,,
568,,$ 1553522,
569,$ 2500000,,
570,,,
571,,,
572,$ 152000,,
573,,,
574,$ 488000,,
575,,$ 502086,
576,,,
577,$ 187000,,
578,$ 267000,,
579,$ 483103,,
580,FRF 20000000,,$ 39448
581,,,
582,,,
583,,,
584,,,
585,,,
586,,,
587,,,
588,$ 539000,,
589,,,
590,,,
591,,,
592,$ 1300000,,
593,,,
594,,,
595,,$ 395825,
596,,,
597,,$ 405000,
598,$ 1205000,,
599,,,
600,$ 200000,,$ 121107
601,,,
602,$ 433000,,
603,,,
604,,,
605,,,
606,,$ 449700,
607,,$ 509718,
608,,,
609,$ 1500000,,
610,,$ 1642194,
611,$ 217000,,$ 4841
612,,,
613,,$ 885699,
614,$ 2000000,,$ 746
615,$ 80000,,
616,,,
617,,,
618,,,
619,$ 290000,,
620,,,
621,,,
622,,,
623,,$ 53485,$ 62686
624,,,$ 1737460
625,,,
626,,,
627,,,
628,$ 900000,,$ 26916
629,,,
630,,,
631,$ 267000,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,$ 293000,,
652,$ 75000,,
653,,,
654,,,
655,,,
656,,,$ 4347
657,,,
658,$ 400000,,
659,$ 750000,,
660,,,
661,$ 337000,,
662,$ 178000,,
663,,$ 21877,$ 21877
664,$ 272000,,
665,,,
666,,,
667,,,
668,,,
669,,,
670,,,
671,$ 650000,,
672,,,$ 16467
673,,$ 1100000,
674,,$ 10900000,$ 12862000
675,,,
676,,,
677,,,
678,,,
679,,,
680,$ 150000,,
681,,,
682,$ 20000,,
683,,,
684,$ 2000000,,
685,,,
686,$ 325000,,
687,,$ 859900,
688,,,
689,$ 1000000,,
690,$ 259000,,
691,$ 259000,,
692,$ 365000,,
693,,,
694,$ 383000,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,,,
702,,,
703,GBP 2000,,
704,,,
705,,,
706,$ 400000,,
707,,,
708,$ 1000000,,
709,,,
710,$ 379000,,
711,$ 550000,,
712,,,
713,,,
714,$ 500000,,
715,$ 600000,,
716,$ 489106,,
717,,,
718,,,
719,,,
720,,,
721,$ 487000,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,$ 385000,,
731,,,
732,,,
733,,,
734,,,
735,,,
736,$ 750000,,
737,,$ 5537200,$ 8648060
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,,,$ 5277780
749,,,
750,,,
751,,,
752,,,
753,,,
754,,$ 3270000,
755,,,
756,$ 257000,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,$ 650000,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,
774,,,
775,,,
776,$ 1130000,,
777,,,
778,,,
779,$ 1005000,,
