,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics
0,5.9,154,,1.0,2.0
1,6.1,589,,7.0,7.0
2,5.8,188,,5.0,2.0
3,5.2,446,,25.0,3.0
4,7.0,2237,,31.0,14.0
5,5.7,484,,13.0,5.0
6,6.8,753,,12.0,9.0
7,6.2,273,,7.0,5.0
8,6.7,198,,4.0,1.0
9,5.5,225,,8.0,1.0
10,6.6,331,,9.0,9.0
11,7.0,1944,,9.0,28.0
12,7.1,948,,16.0,7.0
13,7.0,1349,,8.0,23.0
14,6.2,100,,,4.0
15,6.5,124,,2.0,2.0
16,7.0,1050,,6.0,18.0
17,5.8,187,,6.0,
18,6.5,1768,,20.0,26.0
19,6.0,552,,14.0,11.0
20,6.2,474,,13.0,7.0
21,6.4,378,,7.0,2.0
22,6.4,1105,,14.0,11.0
23,6.5,144,,8.0,3.0
24,7.1,3073,,31.0,26.0
25,6.0,929,,10.0,3.0
26,7.5,303,,7.0,4.0
27,6.9,1161,,5.0,18.0
28,5.8,202,,6.0,3.0
29,6.8,1040,,5.0,
30,7.0,503,,7.0,4.0
31,5.2,415,,11.0,7.0
32,6.6,456,,41.0,9.0
33,5.8,402,,8.0,11.0
34,6.1,1239,,16.0,9.0
35,5.5,382,,16.0,5.0
36,6.3,939,,5.0,8.0
37,5.7,879,,8.0,3.0
38,6.1,178,,5.0,3.0
39,6.3,3250,,38.0,18.0
40,6.3,165,,1.0,9.0
41,5.3,112,,4.0,
42,5.6,174,,12.0,
43,6.4,242,,6.0,2.0
44,5.7,138,,5.0,2.0
45,6.6,206,,4.0,3.0
46,6.2,394,,11.0,8.0
47,6.3,22213,,368.0,97.0
48,6.4,894,,20.0,8.0
49,6.6,2305,,38.0,19.0
50,6.0,244,,15.0,3.0
51,5.8,783,,20.0,14.0
52,6.4,187,,10.0,1.0
53,6.8,268,,7.0,2.0
54,6.6,293,,13.0,3.0
55,5.9,130,,3.0,5.0
56,5.6,138,,5.0,1.0
57,6.1,300,,,
58,6.9,794,,11.0,6.0
59,6.9,597,,5.0,5.0
60,6.8,1110,,17.0,15.0
61,7.3,4166,,25.0,53.0
62,5.9,151,,7.0,1.0
63,6.2,1501,,28.0,24.0
64,4.5,559,,5.0,
65,6.0,283,,8.0,6.0
66,6.8,123,,4.0,11.0
67,6.1,199,,,1.0
68,6.4,143,,6.0,3.0
69,5.3,609,,7.0,
70,6.6,166,,5.0,2.0
71,5.7,479,,7.0,1.0
72,6.6,147,,9.0,6.0
73,6.8,836,,21.0,11.0
74,5.9,127,,8.0,4.0
75,5.6,837,,12.0,
76,7.8,13875,99.0,111.0,77.0
77,7.4,867,,11.0,15.0
78,6.0,573,,6.0,
79,7.0,610,,7.0,5.0
80,4.7,564,,4.0,
81,6.5,141,,6.0,1.0
82,5.6,183,,2.0,1.0
83,6.4,313,,10.0,16.0
84,6.8,342,,3.0,7.0
85,6.2,349,,13.0,5.0
86,5.3,509,,11.0,2.0
87,5.8,100,,3.0,
88,6.3,591,,25.0,7.0
89,5.9,267,,12.0,2.0
90,6.0,468,,9.0,7.0
91,6.5,298,,3.0,3.0
92,6.1,129,,3.0,
93,6.1,135,,8.0,2.0
94,6.5,585,,14.0,13.0
95,6.5,501,,17.0,8.0
96,5.9,608,,12.0,5.0
97,5.7,638,,4.0,2.0
98,6.4,109,,3.0,1.0
99,6.7,257,,11.0,7.0
100,7.1,458,,6.0,3.0
101,6.7,1266,,16.0,13.0
102,6.4,130,,3.0,3.0
103,6.1,770,,9.0,5.0
104,5.7,727,,12.0,4.0
105,6.9,147,,1.0,1.0
106,6.2,372,,10.0,17.0
107,6.0,108,,6.0,1.0
108,7.4,1508,,12.0,9.0
109,6.0,189,,4.0,1.0
110,4.8,481,,4.0,1.0
111,6.1,140,,8.0,2.0
112,6.7,148,,1.0,2.0
113,6.4,557,,8.0,3.0
114,5.8,740,,9.0,5.0
115,5.9,123,,,1.0
116,5.5,554,,18.0,15.0
117,7.3,1518,,12.0,17.0
118,7.0,782,,20.0,10.0
119,6.0,116,,3.0,1.0
120,6.0,267,,8.0,9.0
121,5.9,134,,4.0,2.0
122,6.2,515,,7.0,3.0
123,5.4,281,,9.0,1.0
124,6.4,906,,16.0,12.0
125,6.1,112,,2.0,5.0
126,5.1,594,,5.0,2.0
127,6.5,119,,9.0,5.0
128,5.2,616,,10.0,2.0
129,5.9,1061,,18.0,3.0
130,6.4,178,,12.0,2.0
131,4.4,484,,4.0,
132,6.1,341,,8.0,1.0
133,5.1,697,,8.0,1.0
134,7.3,5895,,38.0,21.0
135,6.7,1360,,19.0,11.0
136,5.7,684,,14.0,21.0
137,7.0,309,,1.0,7.0
138,5.9,109,,5.0,1.0
139,6.8,262,,14.0,5.0
140,7.0,1122,,16.0,16.0
141,5.9,963,,2.0,2.0
142,7.2,1631,,19.0,23.0
143,7.1,168,,1.0,2.0
144,6.3,857,,11.0,6.0
145,7.1,165,,5.0,7.0
146,7.0,1325,,12.0,17.0
147,7.3,9241,,89.0,78.0
148,5.7,631,,13.0,4.0
